filepath,width,height,bboxes,class,x1,x2,y1,y2
data/train/,1024,1024,,smart_1,311,183,415,657
data/train/,1024,1024,,smart_1,352,361,716,479
data/train/,1024,1024,,smart_1,16,163,785,905
data/train/,1024,1024,,smart_1,427,188,573,499
data/train/,1024,1024,,smart_1,462,152,605,1024
data/train/,1024,1024,,smart_1,308,590,779,666
data/train/,1024,1024,,smart_1,0,328,1024,549
data/train/,1024,1024,,smart_1,554,400,770,647
data/train/,1024,1024,,smart_1,693,192,802,466
data/train/,1024,1024,,smart_1,289,661,639,735
data/train/,1024,1024,,smart_1,184,588,495,657
data/train/,1024,1024,,smart_1,0,351,1024,791
data/train/,1024,1024,,smart_1,485,63,651,676
data/train/,1024,1024,,smart_1,413,285,685,699
data/train/,1024,1024,,smart_1,376,394,708,597
data/train/,1024,1024,,smart_1,749,364,1024,1024
data/train/,1024,1024,,smart_1,347,345,866,846
data/train/,1024,1024,,smart_1,305,245,659,883
data/train/,1024,1024,,smart_1,352,0,629,1024
data/train/,1024,1024,,smart_1,85,255,1024,426
data/train/,1024,1024,,smart_1,285,386,839,600
data/train/,1024,1024,,smart_1,0,549,1024,974
data/train/,1024,1024,,smart_1,0,305,760,871
data/train/,1024,1024,,smart_1,0,150,1024,724
data/train/,1024,1024,,smart_1,513,451,601,865
data/train/,1024,1024,,smart_1,655,644,805,1024
data/train/,1024,1024,,smart_1,378,626,463,773
data/train/,1024,1024,,smart_1,304,80,649,682
data/train/,1024,1024,,smart_1,325,307,581,426
data/train/,1024,1024,,smart_1,190,272,964,950
data/train/,1024,1024,,smart_1,354,379,615,472
data/train/,1024,1024,,smart_1,276,576,441,874
data/train/,1024,1024,,smart_1,171,411,712,681
data/train/,1024,1024,,smart_1,307,539,575,601
data/train/,1024,1024,,smart_1,419,225,533,705
data/train/,1024,1024,,smart_1,475,481,701,684
data/train/,1024,1024,,smart_1,0,607,876,837
data/train/,1024,1024,,smart_1,542,298,604,514
data/train/,1024,1024,,smart_1,80,191,580,436
data/train/,1024,1024,,smart_1,255,427,444,729
data/train/,1024,1024,,smart_1,216,687,418,787
data/train/,1024,1024,,smart_1,288,325,842,1024
data/train/,1024,1024,,smart_1,0,352,1024,880
data/train/,1024,1024,,smart_1,509,534,597,1024
data/train/,1024,1024,,smart_1,338,632,991,721
data/train/,1024,1024,,smart_1,103,721,558,856
data/train/,1024,1024,,smart_1,394,390,887,807
data/train/,1024,1024,,smart_1,574,400,653,554
data/train/,1024,1024,,smart_1,369,236,983,302
data/train/,1024,1024,,smart_1,207,407,692,820
data/train/,1024,1024,,smart_1,198,9,606,989
data/train/,1024,1024,,smart_1,470,382,671,682
data/train/,1024,1024,,smart_1,484,348,618,627
data/train/,1024,1024,,smart_1,132,0,474,1024
data/train/,1024,1024,,smart_1,532,365,596,628
data/train/,1024,1024,,smart_1,401,492,571,830
data/train/,1024,1024,,smart_1,636,329,793,440
data/train/,1024,1024,,smart_1,367,549,503,864
data/train/,1024,1024,,smart_1,368,536,610,847
data/train/,1024,1024,,smart_1,123,564,445,793
data/train/,1024,1024,,smart_1,405,408,760,770
data/train/,1024,1024,,smart_1,108,283,476,663
data/train/,1024,1024,,smart_1,394,404,776,593
data/train/,1024,1024,,smart_1,500,361,721,711
data/train/,1024,1024,,smart_1,182,533,410,869
data/train/,1024,1024,,smart_1,21,357,951,530
data/train/,1024,1024,,smart_1,498,230,536,511
data/train/,1024,1024,,smart_1,537,432,815,580
data/train/,1024,1024,,smart_1,339,309,417,618
data/train/,1024,1024,,smart_1,246,549,447,703
data/train/,1024,1024,,smart_1,0,0,1024,897
data/train/,1024,1024,,smart_1,582,98,710,820
data/train/,1024,1024,,smart_1,445,412,783,484
data/train/,1024,1024,,smart_1,367,525,753,612
data/train/,1024,1024,,smart_1,256,217,1024,717
data/train/,1024,1024,,smart_1,479,390,607,744
data/train/,1024,1024,,smart_1,405,296,836,1024
data/train/,1024,1024,,smart_1,376,421,493,531
data/train/,1024,1024,,smart_1,271,0,693,917
data/train/,1024,1024,,smart_1,517,253,590,610
data/train/,1024,1024,,smart_1,443,322,505,403
data/train/,1024,1024,,smart_1,0,387,769,1024
data/train/,1024,1024,,smart_1,320,294,956,628
data/train/,1024,1024,,smart_1,45,53,1024,1024
data/train/,1024,1024,,smart_1,488,0,932,1024
data/train/,1024,1024,,smart_1,479,0,564,766
data/train/,1024,1024,,smart_1,289,239,653,516
data/train/,1024,1024,,smart_1,144,0,1024,747
data/train/,1024,1024,,smart_1,0,314,1024,742
data/train/,1024,1024,,smart_1,369,217,752,360
data/train/,1024,1024,,smart_1,510,0,948,1024
data/train/,1024,1024,,smart_1,375,0,664,1024
data/train/,1024,1024,,smart_1,671,174,745,490
data/train/,1024,1024,,smart_1,0,371,1024,1024
data/train/,1024,1024,,smart_1,224,522,613,671
data/train/,1024,1024,,smart_1,336,143,666,748
data/train/,1024,1024,,smart_1,489,514,853,726
data/train/,1024,1024,,smart_1,448,686,953,767
data/train/,1024,1024,,smart_1,0,443,1024,851
data/train/,1024,1024,,smart_1,0,479,1024,915
data/train/,1024,1024,,smart_1,490,417,653,914
data/train/,1024,1024,,smart_1,478,302,708,690
data/train/,1024,1024,,smart_1,144,167,551,541
data/train/,1024,1024,,smart_1,500,0,651,538
data/train/,1024,1024,,smart_1,310,393,996,664
data/train/,1024,1024,,smart_1,276,586,403,884
data/train/,1024,1024,,smart_1,437,300,636,745
data/train/,1024,1024,,smart_1,363,401,435,798
data/train/,1024,1024,,smart_1,525,469,589,592
data/train/,1024,1024,,smart_1,55,0,1024,1024
data/train/,1024,1024,,smart_1,208,201,669,545
data/train/,1024,1024,,smart_1,245,479,549,663
data/train/,1024,1024,,smart_1,384,522,549,787
data/train/,1024,1024,,smart_1,410,263,606,425
data/train/,1024,1024,,smart_1,260,150,756,803
data/train/,1024,1024,,smart_1,0,135,1024,823
data/train/,1024,1024,,smart_1,155,171,834,993
data/train/,1024,1024,,smart_1,422,18,742,938
data/train/,1024,1024,,smart_1,147,395,449,706
data/train/,1024,1024,,smart_1,256,261,689,472
data/train/,1024,1024,,smart_1,446,295,820,370
data/train/,1024,1024,,smart_1,536,431,863,576
data/train/,1024,1024,,smart_1,275,443,601,527
data/train/,1024,1024,,smart_1,323,350,576,525
data/train/,1024,1024,,smart_1,253,134,626,463
data/train/,1024,1024,,smart_1,213,0,605,1024
data/train/,1024,1024,,smart_1,494,298,665,931
data/train/,1024,1024,,smart_1,301,579,581,845
data/train/,1024,1024,,smart_1,263,290,851,955
data/train/,1024,1024,,smart_1,405,304,639,581
data/train/,1024,1024,,smart_1,475,0,1024,1024
data/train/,1024,1024,,smart_1,0,263,1024,746
data/train/,1024,1024,,smart_1,263,373,1024,703
data/train/,1024,1024,,smart_1,548,343,710,497
data/train/,1024,1024,,smart_1,0,99,966,714
data/train/,1024,1024,,smart_1,0,0,710,759
data/train/,1024,1024,,smart_1,0,201,1024,993
data/train/,1024,1024,,smart_1,258,46,722,624
data/train/,1024,1024,,smart_1,219,169,322,721
data/train/,1024,1024,,smart_1,0,22,1024,976
