mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.781,0.978,5.497,0.886,0.527,0.246,7.156,6.606,0.0
3.468,0.985,5.039,0.687,0.174,0.289,6.189,7.342,0.0
2.991,0.987,4.833,0.692,0.13,0.303,5.958,7.075,0.0
2.939,0.987,4.173,0.671,0.115,0.287,5.246,7.329,0.0
3.359,0.985,4.079,0.625,0.119,0.3,5.124,7.348,0.0
2.298,0.99,4.245,0.804,0.086,0.237,5.372,7.081,0.0
2.839,0.988,3.903,0.705,0.098,0.256,4.962,7.4,0.0
2.5,0.989,3.82,0.694,0.088,0.235,4.836,7.234,0.0
2.676,0.988,3.628,0.636,0.094,0.254,4.613,7.211,0.0
3.045,0.987,3.57,0.581,0.096,0.237,4.483,7.022,0.0
2.821,0.988,3.599,0.684,0.091,0.252,4.627,6.933,0.0
2.595,0.989,3.463,0.626,0.08,0.245,4.414,6.689,0.0
2.566,0.989,3.821,0.669,0.082,0.254,4.825,6.583,0.0
2.263,0.99,3.509,0.681,0.079,0.216,4.486,6.573,0.0
3.67,0.984,3.288,0.572,0.112,0.252,4.224,6.275,0.0
2.462,0.989,3.469,0.711,0.084,0.207,4.472,6.563,0.0
3.047,0.987,3.377,0.735,0.093,0.268,4.473,6.203,0.0
2.771,0.987,3.591,0.684,0.089,0.247,4.611,6.453,0.0
3.238,0.987,3.204,0.492,0.094,0.28,4.071,6.164,0.0
2.98,0.988,3.47,0.564,0.082,0.239,4.356,6.138,0.0
2.881,0.988,3.431,0.673,0.088,0.223,4.415,6.755,0.0
3.943,0.984,3.033,0.532,0.114,0.277,3.956,6.706,0.0
3.009,0.986,3.566,0.623,0.088,0.249,4.527,7.141,0.0
2.87,0.988,2.916,0.625,0.083,0.226,3.85,6.76,0.0
2.933,0.988,3.551,0.642,0.078,0.234,4.505,7.078,0.0
2.491,0.989,3.375,0.662,0.069,0.192,4.298,6.926,0.0
3.381,0.986,3.312,0.6,0.091,0.253,4.255,7.169,0.0
2.962,0.988,3.201,0.577,0.081,0.23,4.088,6.832,0.0
3.673,0.985,2.951,0.579,0.102,0.249,3.882,6.821,0.0
2.741,0.988,3.108,0.667,0.081,0.211,4.066,6.83,0.0
2.848,0.988,2.713,0.613,0.079,0.232,3.637,6.797,0.0
2.726,0.989,3.147,0.609,0.077,0.207,4.04,6.86,0.0
3.245,0.987,2.911,0.546,0.097,0.258,3.812,6.613,0.0
3.448,0.986,2.879,0.543,0.094,0.244,3.761,6.738,0.0
2.99,0.988,2.29,0.54,0.087,0.245,3.162,6.594,0.0
2.562,0.989,3.319,0.67,0.073,0.227,4.289,7.146,0.0
2.869,0.988,3.445,0.53,0.088,0.231,4.294,6.841,0.0
2.717,0.989,3.459,0.674,0.081,0.222,4.436,6.719,0.0
2.404,0.99,3.39,0.754,0.07,0.203,4.418,6.686,0.0
2.291,0.99,3.121,0.599,0.07,0.195,3.986,7.349,0.0
